Course_Lang,Remarks,Int_Fees,Country,Face_to_Face,Website,Prerequisite_1,Faculty,Blended,Description,University,Prerequisite_1_grade_1,Level_Code,Career_Outcomes/path,Duration_Time,Local_Fees,Online,City,Currency,Prerequisite_3_grade_3,Course,Prerequisite_3,Availability,Prerequisite_2_grade_2,Offline,Currency_Time,Duration,Full_Time,Prerequisite_2,Part_Time,Distance
English,,"30,900",Australia,Yes,https://www.ecu.edu.au/degrees/courses/bachelor-of-media-and-communication,ATAR,Arts and Humanities,No,"Superior skills in communication practice and innovative creative outputs are developed in the majors on offer. Students acquire knowledge about the cultural impact of the media and gain critical insights to make a meaningful contribution to the local and global communication industries and wider society. Students develop integral employment attributes, such as critical communication, exceptional competency in team building and advanced problem solving skills for a diverse and ever changing work environment. ",Edith Cowan University,70,BA,"Broadcaster, Journalist, Writer, Public Relations Consultant, Communications Officer, Film Maker, Script Writer, Social Media Analyst, Content Creator, Media Commentator",Years,"6,850",No,Perth,AUD,Year 12,Bachelor of Media and Communication,Equivalent ,A,6.0,Yes,Years,3.0,Yes,IELTS,No,No
English,,"34,450",Australia,Yes,https://www.ecu.edu.au/degrees/courses/bachelor-of-medical-science,ATAR,Science,No,As the complexity of healthcare increases there will be a greater need for medical science graduates to support the continuum of health service delivery from community-based projects to highly specialised laboratories.,Edith Cowan University,70,BA,"Biomedical Technician, Science Teacher, Medical Representative, Research Officer, Laboratory Manager, Laboratory Scientist, Laboratory Researcher",Years,"10,150",No,Perth,AUD,Year 12,Bachelor of Medical Science,Equivalent ,A,6.0,Yes,Years,3.0,Yes,IELTS,No,No
English,,"32,900",Australia,Yes,https://www.ecu.edu.au/degrees/courses/bachelor-of-music,ATAR,Western Australian Academy of Performing Arts,No,"The course allows students to pursue highly specialist training in their chosen major, as well as customise their study experience to suit their individual interests and career goals. With strengths in classical, jazz and contemporary music performance, as well as composition, music technology, musicology and theory, the course is taught by a staff of world-class scholar-performers whose expertise encompasses every aspect of today’s music world, and also that of the future.",Edith Cowan University,70,BA,"Musician, Performance Artist, Composer, Performer, Entertainer, Music Tutor, Accompanist",Years,"6,850",No,Perth,AUD,Year 12,Bachelor of Music,Equivalent ,A,6.0,Yes,Years,4.0,Yes,IELTS,No,No
English,,"32,850",Australia,Yes,https://www.ecu.edu.au/degrees/courses/bachelor-of-music-honours,ATAR,Western Australian Academy of Performing Arts,No,"The course prepares students for entry into the music profession as highly-skilled elite performers with a profound understanding of their art form. It also offers a stepping stone to further postgraduate study in music. Specialisations include classical performance, jazz performance, contemporary music, composition, screen composition, music technology, or musicology. The course is supported by a large staff of educators and scholar/performers whose expertise spans the entire music industry.",Edith Cowan University, ,HONS,,Year,"6,850",No,Perth,AUD,Year 12,Bachelor of Music Honours,Equivalent ,A,6.0,Yes,Years,1.0,Yes,IELTS,No,No
English,,"32,000",Australia,Yes,https://www.ecu.edu.au/degrees/courses/bachelor-of-performing-arts,ATAR,Western Australian Academy of Performing Arts,No,"The course focuses on all aspects of performance in a broader context rather than singular training in acting, dance or music. It provides students with coherent knowledge of the performing arts, combining theoretical and technical knowledge of performance and seeks to unlock limitations through practical inquiry. It also examines the ever-evolving nature of contemporary practice and new approaches to presentation and production. Students will develop critical thinking and creative problem-solving skills. Self-directed projects will develop confidence in working independently and highly collaborative group work will develop the ability to work as part of a cohesive team. The third year offers the opportunity for students to focus on a particular discipline or area of practice.",Edith Cowan University, ,BA,"Performer, Musician, Director, Choreographer, Designer, Composer, Sound Designer, Arranger, Dramaturg, Playwright",Years,"6,850",No,Perth,AUD,Year 12,Bachelor of Performing Arts,Equivalent ,A,6.0,Yes,Years,3.0,Yes,IELTS,No,No
English,,"34,200",Australia,Yes,https://www.ecu.edu.au/degrees/courses/bachelor-of-psychology,ATAR,Arts and Humanities,Yes,"It is for students who are interested in careers comprising psychology and a wide range of areas including arts and humanities, family and child support, youth work, community work, addiction studies, human services, criminology and justice. The course equips students with skills in analysing, researching behaviour and explaining interactions between people and their environment.",Edith Cowan University,70,BA,"Public sector worker, government agency worker, market researcher, children and family service provider, marketer, human resource worker, statistician, mental health services worker, financial service worker, police force officer",Years,"6,850",Yes,Perth,AUD,Year 12,Bachelor of Psychology,Equivalent ,A,6.0,Yes,Years,3.0,Yes,IELTS,Yes,Yes
English,,"34,200",Australia,Yes,https://www.ecu.edu.au/degrees/courses/bachelor-of-psychology-and-counselling,ATAR,Arts and Humanities,Yes,"It prepares students for working in a counselling role, or for further postgraduate studies in psychology and counselling. The course equips students with skills in analysing, researching behaviour and explaining interactions between people and their environment.",Edith Cowan University,70,BA,"Counsellor, Public Sector Worker, Government Agency Worker, Market Researcher, Children and Family Service Provider, Marketer, Human Resource Worker, Statistician, Mental Health Services Worker, Financial Service Worker",Years,"6,850",Yes,Perth,AUD,Year 12,Bachelor of Psychology and Counselling,Equivalent ,A,6.0,Yes,Years,3.0,Yes,IELTS,Yes,Yes
English,,"33,850",Australia,Yes,https://www.ecu.edu.au/degrees/courses/bachelor-of-psychology-criminology-and-justice,ATAR,Arts and Humanities,Yes,"The course equips students with skills in analysing, researching behaviour and explaining interactions between people and their environment.",Edith Cowan University,70,BA,"Criminology and justice system worker, counsellor, public sector worker, government agency worker, market researcher, children and family service provider, marketer, human resource worker, statistician, mental health services worker",Years,"6,850",Yes,Perth,AUD,Year 12,"Bachelor of Psychology, Criminology and Justice",Equivalent ,A,6.0,Yes,Years,3.0,Yes,IELTS,Yes,Yes
English,,"34,300",Australia,Yes,https://www.ecu.edu.au/degrees/courses/bachelor-of-science,ATAR,Science,No,"Four course-level electives allow flexibility, the capacity to undertake overseas study or to enrol in specific humanities units that contribute to eligibility for entry to a postgraduate teacher education course. Students studying on the South West (Bunbury) campus undertake a specified set of core units and both the Conservation Biology and Environmental Management majors. Units undertaken on the South West (Bunbury) campus will be delivered as a series of lecture or laboratory intensives, supported by technology enhanced learning and digital content.",Edith Cowan University,70,BA,"Environmental/Scientific Consultant, Conservation Officer, IT Consultant, Nature Conservationist, Analytical Chemist, Marine Biologist, Ecologist, Data Analyst, Physicist, Biodiversity Manager",Years,"9,700",No,Perth,AUD,Year 12,Bachelor of Science,Equivalent ,A,6.0,Yes,Years,3.0,Yes,IELTS,No,No
English,,"34,300",Australia,Yes,https://www.ecu.edu.au/degrees/courses/bachelor-of-science,ATAR,Science,No,"Four course-level electives allow flexibility, the capacity to undertake overseas study or to enrol in specific humanities units that contribute to eligibility for entry to a postgraduate teacher education course. Students studying on the South West (Bunbury) campus undertake a specified set of core units and both the Conservation Biology and Environmental Management majors. Units undertaken on the South West (Bunbury) campus will be delivered as a series of lecture or laboratory intensives, supported by technology enhanced learning and digital content.",Edith Cowan University,70,BA,"Environmental/Scientific Consultant, Conservation Officer, IT Consultant, Nature Conservationist, Analytical Chemist, Marine Biologist, Ecologist, Data Analyst, Physicist, Biodiversity Manager",Years,"9,700",No,Bunbury,AUD,Year 12,Bachelor of Science,Equivalent ,A,6.0,Yes,Years,3.0,Yes,IELTS,No,No
English,,"35,000",Australia,Yes,https://www.ecu.edu.au/degrees/courses/bachelor-of-science-biological-sciences,ATAR,Science,No,The hands-on nature of the course means graduates have a sound understanding of the theory underpinning biological sciences coupled with skills that can be applied in a wide range of professions. Students benefit from a learning environment inspired by world class research academics with strong industry and government links.,Edith Cowan University,70,BA,"Biodiversity Manager, Biomedical Researcher, Nature Conservationist, Environmental Consultant, Zoologist, Botanist, Catchment Officer, Natural Resource Officer, Conservation Field Officer, Ecologist",Years,"9,700",No,Perth,AUD,Year 12,Bachelor of Science (Biological Sciences),Equivalent ,A,6.0,Yes,Years,3.0,Yes,IELTS,No,No
