Level_Code,University,City,Course,Faculty,Local_Fees,Int_Fees,Currency,Currency_Time,Duration,Duration_Time,Full_Time,Part_Time,Prerequisite_1,Prerequisite_2,Prerequisite_3,Prerequisite_1_grade_1,Prerequisite_2_grade_2,Prerequisite_3_grade_3,Website,Course_Lang,Availability,Description,Career_Outcomes/path,Country,Online,Offline,Distance,Face_to_Face,Blended,Remarks
BA,Charles Darwin University,Darwin,Bachelor of Health Science,College of Health and Human Sciences,CSP supported,"30,240.00",AUD,Years,3.0,Years,Yes,Yes,ATAR,IELTS,Equivalent ,,6.0,Year 12,https://www.cdu.edu.au/study/bachelor-health-science-whsc02-2021,English,A,"With a goal to keep our populations healthy, the demand for more health professionals with a broad skill set is increasing. The Bachelor of Health Science from Charles Darwin University provides the skills to fill the gap in the Australian health care system and prepares you for working in a multidisciplinary health industry.  The Bachelor of Health Science has strong health industry connections and course content which leads to work in areas including environmental officers , health policy and research, health and wellbeing or health promotion.  This course offers a pathway into master level studies so you can pursue a career in occupational therapy, health research or public health.","Graduating from this course may lead to career opportunities in areas such as health promotion, health services management, and public health.",Australia,Yes,Yes,Yes,Yes,Yes,
BA,Charles Darwin University,Online,Bachelor of Health Science,College of Health and Human Sciences,CSP supported,"30,240.00",AUD,Years,3.0,Years,Yes,Yes,ATAR,IELTS,Equivalent ,,6.0,Year 12,https://www.cdu.edu.au/study/bachelor-health-science-whsc02-2021,English,A,"With a goal to keep our populations healthy, the demand for more health professionals with a broad skill set is increasing. The Bachelor of Health Science from Charles Darwin University provides the skills to fill the gap in the Australian health care system and prepares you for working in a multidisciplinary health industry.  The Bachelor of Health Science has strong health industry connections and course content which leads to work in areas including environmental officers , health policy and research, health and wellbeing or health promotion.  This course offers a pathway into master level studies so you can pursue a career in occupational therapy, health research or public health.","Graduating from this course may lead to career opportunities in areas such as health promotion, health services management, and public health.",Australia,Yes,Yes,Yes,Yes,Yes,
BA,Charles Darwin University,Darwin,Bachelor of Medical Laboratory Science,College of Health and Human Sciences,CSP supported,"31,000.00",AUD,Years,4.0,Years,Yes,Yes,ATAR,IELTS,Equivalent ,,6.0,Year 12,https://www.cdu.edu.au/study/bachelor-medical-laboratory-science-wmlsc1-2021,English,A,"Medical Laboratory Scientists work in a range of areas in pathology, including haematology, clinical chemistry, microbiology, histology and serology. They are skilled in performing tests on both human and veterinary specimens, such as blood, tissues and bodily fluids to assist in the diagnosis of disease and provide information about the treatment options. The results of these tests provide physicians with the essential information they need to treat, monitor and prevent disease.","Graduating from this course may lead to career opportunities in the identification and diagnosis of disease and pathogens, medical research, forensic pathology, public health and the pharmaceutical industry.",Australia,No,Yes,No,Yes,Yes,
BA,Charles Darwin University,Darwin,Bachelor of Science,"College of Engineering, IT and Environment",CSP supported,"32,336.00",AUD,Years,3.0,Years,Yes,Yes,ATAR,IELTS,Equivalent ,,6.0,Year 12,https://www.cdu.edu.au/study/bachelor-science-wsci01-2021,English,A,The Bachelor of Science will allow you to explore your curiosity and passion for knowledge within your chosen scientific field.,"Graduating from this may lead you to career opportunities in the industry, government, private companies, non-government organisations (NGO) and the community sector as a biologist, ecologist, spatial scientist, biomedical scientist, chemist, consultant, laboratory assistant, project manager or advisor.",Australia,Yes,Yes,Yes,Yes,Yes,
BA,Charles Darwin University,Online,Bachelor of Science,"College of Engineering, IT and Environment",CSP supported,"32,336.00",AUD,Years,3.0,Years,Yes,Yes,ATAR,IELTS,Equivalent ,,6.0,Year 12,https://www.cdu.edu.au/study/bachelor-science-wsci01-2021,English,A,The Bachelor of Science will allow you to explore your curiosity and passion for knowledge within your chosen scientific field.,"Graduating from this may lead you to career opportunities in the industry, government, private companies, non-government organisations (NGO) and the community sector as a biologist, ecologist, spatial scientist, biomedical scientist, chemist, consultant, laboratory assistant, project manager or advisor.",Australia,Yes,Yes,Yes,Yes,Yes,
HONS,Charles Darwin University,Darwin,Bachelor of Science Honours,"College of Engineering, IT and Environment",CSP supported,"32,336.00",AUD,Years,1.0,Year,Yes,Yes,ATAR,IELTS,Equivalent ,,6.0,Year 12,https://www.cdu.edu.au/study/bachelor-science-honours-vscih1-2021,English,A,"This one-year honours course includes a major research project, advanced level coursework and research skills training in a number of science disciplines including:","Graduating from this course may lead to career opportunities in the industry, government, private and the community sector as a biologist, ecologist, spatial scientist, biomedical scientist, chemist, consultant, laboratory assistant, academic, project manager or advisor.",Australia,Yes,Yes,Yes,Yes,Yes,
HONS,Charles Darwin University,Adelaide,Bachelor of Science Honours,"College of Engineering, IT and Environment",CSP supported,"32,336.00",AUD,Years,1.0,Year,Yes,Yes,ATAR,IELTS,Equivalent ,,6.0,Year 12,https://www.cdu.edu.au/study/bachelor-science-honours-vscih1-2021,English,A,"This one-year honours course includes a major research project, advanced level coursework and research skills training in a number of science disciplines including:","Graduating from this course may lead to career opportunities in the industry, government, private and the community sector as a biologist, ecologist, spatial scientist, biomedical scientist, chemist, consultant, laboratory assistant, academic, project manager or advisor.",Australia,Yes,Yes,Yes,Yes,Yes,
HONS,Charles Darwin University,Online,Bachelor of Science Honours,"College of Engineering, IT and Environment",CSP supported,"32,336.00",AUD,Years,1.0,Year,Yes,Yes,ATAR,IELTS,Equivalent ,,6.0,Year 12,https://www.cdu.edu.au/study/bachelor-science-honours-vscih1-2021,English,A,"This one-year honours course includes a major research project, advanced level coursework and research skills training in a number of science disciplines including:","Graduating from this course may lead to career opportunities in the industry, government, private and the community sector as a biologist, ecologist, spatial scientist, biomedical scientist, chemist, consultant, laboratory assistant, academic, project manager or advisor.",Australia,Yes,Yes,Yes,Yes,Yes,
DIP,Charles Darwin University,Darwin,Diploma of Health Science,College of Health and Human Sciences,CSP supported,"30,240.00",AUD,Years,1.0,Year,Yes,Yes,ATAR,IELTS,Equivalent ,,6.0,Year 12,https://www.cdu.edu.au/study/diploma-health-science-yhsc01-2021,English,A,"The Diploma of Health Science will provide you with a range of skills and knowledge applicable to the Australian health care system, including health promotion, communication skills and cultural safety in healthcare. Graduates have the opportunity to access entry level health related roles across health services and organisations. Employment options include roles as health administrators, health promotion or public health workers.","Graduating from this course may lead to career opportunities in areas such as health promotion, primary and community health centres, non-government organisations, social services, health clerk, therapy services officer.",Australia,Yes,Yes,Yes,Yes,Yes,
DIP,Charles Darwin University,Online,Diploma of Health Science,College of Health and Human Sciences,CSP supported,"30,240.00",AUD,Years,1.0,Year,Yes,Yes,ATAR,IELTS,Equivalent ,,6.0,Year 12,https://www.cdu.edu.au/study/diploma-health-science-yhsc01-2021,English,A,"The Diploma of Health Science will provide you with a range of skills and knowledge applicable to the Australian health care system, including health promotion, communication skills and cultural safety in healthcare. Graduates have the opportunity to access entry level health related roles across health services and organisations. Employment options include roles as health administrators, health promotion or public health workers.","Graduating from this course may lead to career opportunities in areas such as health promotion, primary and community health centres, non-government organisations, social services, health clerk, therapy services officer.",Australia,Yes,Yes,Yes,Yes,Yes,
DIP,Charles Darwin University,Darwin,Diploma of Science,"College of Engineering, IT and Environment",CSP supported,"31,000.00",AUD,Years,1.0,Year,Yes,Yes,ATAR,IELTS,Equivalent ,,6.0,Year 12,https://www.cdu.edu.au/study/diploma-science-ysci01-2021,English,A,"The Diploma of Science is ideal if you are curious about studying science and would like to learn more though unsure about committing to a degree, or you already have a career in the sciences and want to upskill with another qualification and skills in another discipline.","Graduating from this course may lead to a variety of science-related roles in government, private companies, non-government organisations and community sectors including positions as a technician, laboratory assistant, consultant, analyst, designer and developer, project manager or helpdesk support administrator, plus many more.",Australia,Yes,Yes,Yes,Yes,Yes,
DIP,Charles Darwin University,Online,Diploma of Science,"College of Engineering, IT and Environment",CSP supported,"31,000.00",AUD,Years,1.0,Year,Yes,Yes,ATAR,IELTS,Equivalent ,,6.0,Year 12,https://www.cdu.edu.au/study/diploma-science-ysci01-2021,English,A,"The Diploma of Science is ideal if you are curious about studying science and would like to learn more though unsure about committing to a degree, or you already have a career in the sciences and want to upskill with another qualification and skills in another discipline.","Graduating from this course may lead to a variety of science-related roles in government, private companies, non-government organisations and community sectors including positions as a technician, laboratory assistant, consultant, analyst, designer and developer, project manager or helpdesk support administrator, plus many more.",Australia,Yes,Yes,Yes,Yes,Yes,
