Face_to_Face,Prerequisite_2,Currency_Time,Course_Lang,Faculty,Availability,Offline,Prerequisite_2_grade_2,Level_Code,Part_Time,Duration_Time,Website,University,Full_Time,Description,Country,Distance,Duration,Int_Fees,Online,Prerequisite_1_grade_1,Prerequisite_1,Course,City,Currency,Blended,Remarks
Yes,Equivalent AQF Degree Level,Years,English,Computer Science & Information Technology,A,Yes,Year 12,BA,No,Years,https://www.monash.edu/study/courses/find-a-course/2021/business-and-information-technology-b2017?international=true,Monash University,Yes,"Why study a double degree in Business and IT? With Business, you'll explore everything from finance and law to statistics and management. With Information Technology, you'll develop and manage IT-based systems and use computer-based technologies to solve problems. A dynamic combination.",Australia,No,4.0,"45,000",No,6.5,IELTS,Business and Information Technology,Melbourne,AUD,No,
Yes,Equivalent AQF Degree Level,Years,English,Business & Economics,A,Yes,Year 12,BA,No,Years,https://www.monash.edu/study/courses/find-a-course/2021/business-and-international-business-b2041?international=true,Monash University,Yes,"Why study a double degree in Business and International Business? With Business, you'll explore a range of business disciplines - from finance and law to statistics and management. With International Business, you'll learn the intricacies of doing business in different countries and environments.",Australia,No,4.0,"45,000",No,6.5,IELTS,Business and International Business,Melbourne,AUD,No,
Yes,Equivalent AQF Degree Level,Years,English,Business & Economics,A,Yes,Year 12,BA,No,Years,https://www.monash.edu/study/courses/find-a-course/2021/business-and-international-business-b2041?international=true,Monash University,Yes,"Why study a double degree in Business and International Business? With Business, you'll explore a range of business disciplines - from finance and law to statistics and management. With International Business, you'll learn the intricacies of doing business in different countries and environments.",Australia,No,4.0,"45,000",No,6.5,IELTS,Business and International Business,Melbourne,AUD,No,
Yes,Equivalent AQF Degree Level,Years,English,Business & Economics,A,Yes,Year 12,BA,No,Years,https://www.monash.edu/study/courses/find-a-course/2021/business-and-marketing-b2037?international=true,Monash University,Yes,"Why study Business and Marketing? With Business, you'll explore everything from finance to management. With Marketing, you'll explore social media, advertising, consumer and buyer behaviour, campaign planning, market research, strategy, data analysis, branding and digital marketing.",Australia,No,4.0,"45,000",No,6.5,IELTS,Business and Marketing,Melbourne,AUD,No,
Yes,Equivalent AQF Degree Level,Years,English,Business & Economics,A,Yes,Year 12,BA,No,Years,https://www.monash.edu/study/courses/find-a-course/2021/business-and-media-communication-b2028?international=true,Monash University,Yes,"Why study Business and Media Communication? With Business, you'll explore a broad range of business disciplines - from finance and law to statistics and management. With Media Communication, you'll develop your practical experience and build a portfolio of media communication work.",Australia,No,4.0,"45,000",No,6.5,IELTS,Business and Media Communication,Melbourne,AUD,No,
Yes,Equivalent AQF Degree Level,Years,English,Business & Economics,A,Yes,Year 12,BA,No,Years,https://www.monash.edu/study/courses/find-a-course/2021/commerce-b2001?international=true,Monash University,Yes,"Commerce is an integral part of society. The Bachelor of Commerce explores how our desire to trade what we have for what we want has shaped how people and nations have interacted for millennia, and how global trade and digital disruption are fundamentally changing commerce in society.",Australia,No,3.0,"45,000",No,6.5,IELTS,Commerce,Melbourne,AUD,No,
Yes,Equivalent AQF Degree Level,Years,English,Business & Economics,A,Yes,Year 12,BA,No,Year,https://www.monash.edu/study/courses/find-a-course/2021/commerce-b3701?international=true,Monash University,Yes,"Commerce is an integral part of society. The Bachelor of Commerce explores how our desire to trade what we have for what we want has shaped how people and nations have interacted for millennia, and how global trade and digital disruption are fundamentally changing commerce in society.",Australia,No,1.0,"45,000",No,6.5,IELTS,Commerce,Melbourne,AUD,No,
Yes,Equivalent AQF Degree Level,Years,English,Business & Economics,A,Yes,Year 12,BA,No,Year,https://www.monash.edu/study/courses/find-a-course/2021/commerce-b3701?international=true,Monash University,Yes,"Commerce is an integral part of society. The Bachelor of Commerce explores how our desire to trade what we have for what we want has shaped how people and nations have interacted for millennia, and how global trade and digital disruption are fundamentally changing commerce in society.",Australia,No,1.0,"45,000",No,6.5,IELTS,Commerce,Melbourne,AUD,No,
Yes,Equivalent AQF Degree Level,Years,English,Business & Economics,A,Yes,Year 12,BA,No,Years,https://www.monash.edu/study/courses/find-a-course/2021/commerce-and-actuarial-science-b2030?international=true,Monash University,Yes,"Why study a double degree in Commerce and Actuarial Science? In a Bachelor of Commerce, you'll learn to think conceptually, solve problems analytically and use data to make informed decisions. In a Bachelor of Actuarial Science, you'll use mathematics to help companies plan for the future.",Australia,No,4.0,"45,000",No,6.5,IELTS,Commerce and Actuarial Science,Melbourne,AUD,No,
Yes,Equivalent AQF Degree Level,Years,English,Business & Economics,A,Yes,Year 12,BA,No,Years,https://www.monash.edu/study/courses/find-a-course/2021/commerce-and-arts-b2020?international=true,Monash University,Yes,"Why study a double degree in Commerce and Arts? With Commerce, you'll learn how to think conceptually, solve problems analytically and use data to make informed decisions. With Arts, you can choose from almost 40 major and minor areas of study and explore your passions and career goals.",Australia,No,4.0,"45,000",No,6.5,IELTS,Commerce and Arts,Melbourne,AUD,No,
Yes,Equivalent AQF Degree Level,Years,English,Business & Economics,A,Yes,Year 12,BA,No,Years,https://www.monash.edu/study/courses/find-a-course/2021/commerce-and-biomedical-science-b2021?international=true,Monash University,Yes,"Why study a double degree in Commerce and Biomedical Science? With Commerce, you'll learn to think conceptually and analytically and use data to make informed decisions. With Biomedical Science, you'll study scientific breakthroughs that will shape the jobs of the future in rapidly growing fields.",Australia,No,4.0,"45,000",No,6.5,IELTS,Commerce and Biomedical Science,Melbourne,AUD,No,
Yes,Equivalent AQF Degree Level,Years,English,Computer Science & Information Technology,A,Yes,Year 12,BA,No,Years,https://www.monash.edu/study/courses/find-a-course/2021/commerce-and-computer-science-b2008?international=true,Monash University,Yes,"Why study Commerce and Computer Science? With Commerce, you'll learn to think conceptually and analytically and use data to make informed decisions. With Computer Science, you’ll learn about digital innovation, big data and computing and how to apply research and technology in a range of contexts.",Australia,No,4.0,"45,000",No,6.5,IELTS,Commerce and Computer Science,Melbourne,AUD,No,
Yes,Equivalent AQF Degree Level,Years,English,Business & Economics,A,Yes,Year 12,BA,No,Years,https://www.monash.edu/study/courses/find-a-course/2021/commerce-and-economics-b2032?international=true,Monash University,Yes,"Why study a double degree in Commerce and Economics? With Commerce, you'll learn to think conceptually, solve problems analytically and use data to make informed decisions. With Economics, you'll explore how local, national and global economies function using the latest economic theories and tools.",Australia,No,4.0,"45,000",No,6.5,IELTS,Commerce and Economics,Melbourne,AUD,No,
