Course,Remarks,Prerequisite_1_grade_1,Offline,Country,Int_Fees,Face_to_Face,City,Duration_Time,Currency_Time,Online,Currency,University,Prerequisite_1,Blended,Part_Time,Availability,Website,Description,Prerequisite_2_grade_2,Faculty,Full_Time,Distance,Duration,Course_Lang,Level_Code,Prerequisite_2
Clinical Psychology,,,Yes,Australia,"32,100",Yes,Melbourne,Years,Years,No,AUD,Monash University,,No,No,A,https://www.monash.edu/study/courses/find-a-course/2021/clinical-psychology-4585?international=true,"Whether you want to get ahead in your career faster, or improve your knowledge, a Monash postgraduate degree can give you a distinct advantage.",,Medical and Nursing,Yes,No,4.0,English,DPG,
Creative writing,,,Yes,Australia,"34,700",Yes,Melbourne,Years,Years,No,AUD,Monash University,,Yes,Yes,A,https://www.monash.edu/study/courses/find-a-course/2021/creative-writing-3940?international=true,"Monash Arts is internationally recognised for producing innovative, engaging and high quality research, and our course gives you an opportunity to delve into cross-genre ideas supporting the challenges and needs of a contemporary writer in today's critical and literary global communities.",,Computer Science & Information Technology,No,Yes,4.0,English,DPG,
Design (by Research),,,Yes,Australia,"34,100",Yes,Melbourne,Years,Years,No,AUD,Monash University,,No,No,A,https://www.monash.edu/study/courses/find-a-course/2021/design-by-research-3111?international=true,"Whether you want to get ahead in your career faster, or improve your knowledge, a Monash graduate research degree can give you a distinct advantage.",,Engineering,Yes,No,2.0,English,DPG,
Education,,,Yes,Australia,"33,700",Yes,Melbourne,Years,Years,No,AUD,Monash University,,Yes,Yes,A,https://www.monash.edu/study/courses/find-a-course/2021/education-0079?international=true,"Monash University supports, promotes and conducts high quality research that holds significant impact in Australia and overseas. Graduates from Monash Education's doctoral programs occupy senior positions in education and research in many countries around the world within both the public and private sector.",,Education,No,Yes,2.0,English,DPG,
Education,,,Yes,Australia,"33,700",Yes,Melbourne,Years,Years,No,AUD,Monash University,,Yes,Yes,A,https://www.monash.edu/study/courses/find-a-course/2021/education-0079?international=true,"Monash University supports, promotes and conducts high quality research that holds significant impact in Australia and overseas. Graduates from Monash Education's doctoral programs occupy senior positions in education and research in many countries around the world within both the public and private sector.",,Education,No,Yes,2.0,English,DPG,
Education,,,Yes,Australia,"33,700",Yes,Melbourne,Year,Years,No,AUD,Monash University,,Yes,Yes,A,https://www.monash.edu/study/courses/find-a-course/2021/education-3204?international=true,"Today's educators are expected to be lifelong learners, able to adapt to global changes in education where routines and boundaries are often challenged.",,Education,No,Yes,1.0,English,DPG,
Education,,,Yes,Australia,"33,700",Yes,Melbourne,Year,Years,No,AUD,Monash University,,Yes,Yes,A,https://www.monash.edu/study/courses/find-a-course/2021/education-3204?international=true,"Today's educators are expected to be lifelong learners, able to adapt to global changes in education where routines and boundaries are often challenged.",,Education,No,Yes,1.0,English,DPG,
Educational and Developmental Psychology and Philosophy,,,Yes,Australia,"33,700",Yes,Melbourne,Years,Years,No,AUD,Monash University,,No,No,A,https://www.monash.edu/study/courses/find-a-course/2021/educational-and-developmental-psychology-and-philosophy-3736?international=true,"Whether you want to get ahead in your career faster, or improve your knowledge, a Monash postgraduate degree can give you a distinct advantage.",,Humanities and Social Science,Yes,No,4.0,English,DPG,
Engineering,,,Yes,Australia,"46,000",Yes,Melbourne,Years,Years,No,AUD,Monash University,,Yes,Yes,A,https://www.monash.edu/study/courses/find-a-course/2021/engineering-3291?international=true,"Monash Engineering operates at the forefront of engineering research. All specialised fields of research are at world standard or above and the most recent Excellence in Research for Australia assessment has rated our research results well above world standard.  With access to world-class laboratories, workshops and facilities and with highly specialised equipment and software, a PhD in Engineering offers you a stimulating, supportive and professional environment in which to explore engineering challenges and develop solutions for the future...",,Engineering,No,Yes,4.0,English,DPG,
Engineering Science (Research),,,Yes,Australia,"46,000",Yes,Melbourne,Years,Years,No,AUD,Monash University,,Yes,Yes,A,https://www.monash.edu/study/courses/find-a-course/2021/engineering-science-research-3292?international=true,"Whether you want to get ahead in your career faster, or improve your knowledge, a Monash postgraduate degree can give you a distinct advantage.",,Engineering,No,Yes,2.0,English,DPG,
Fine Art,,,Yes,Australia,"34,100",Yes,Melbourne,Years,Years,No,AUD,Monash University,,Yes,Yes,A,https://www.monash.edu/study/courses/find-a-course/2021/fine-art-2953?international=true,"Whether you want to get ahead in your career faster, or improve your knowledge, a Monash graduate research degree can give you a distinct advantage.",,Creative Arts & Design & Music,No,Yes,2.0,English,DPG,
Information Technology,,,Yes,Australia,"42,800",Yes,Melbourne,Years,Years,No,AUD,Monash University,,Yes,Yes,A,https://www.monash.edu/study/courses/find-a-course/2021/information-technology-0190?international=true,"Monash University has a proud tradition of research excellence, and is committed to providing the highest quality of graduate research education. By undertaking your graduate studies at Monash, you will have the opportunity to be part of our stimulating, supportive and professional research environment.",,Computer Science & Information Technology,No,Yes,2.0,English,DPG,
Information Technology,,,Yes,Australia,"42,800",Yes,Melbourne,Years,Years,No,AUD,Monash University,,Yes,Yes,A,https://www.monash.edu/study/courses/find-a-course/2021/information-technology-0190?international=true,"Monash University has a proud tradition of research excellence, and is committed to providing the highest quality of graduate research education. By undertaking your graduate studies at Monash, you will have the opportunity to be part of our stimulating, supportive and professional research environment.",,Computer Science & Information Technology,No,Yes,2.0,English,DPG,
Law,,,Yes,Australia,"37,400",Yes,Melbourne,Years,Years,No,AUD,Monash University,,Yes,Yes,A,https://www.monash.edu/study/courses/find-a-course/2021/law-0069?international=true,"Monash University has a proud tradition of research excellence, and is committed to providing the highest quality of graduate research education. By undertaking your graduate studies at Monash, you will have the opportunity to be part of our stimulating and supportive and professional research environment.",,Law,No,Yes,2.0,English,DPG,
