Level_Code,University,City,Course,Faculty,Int_Fees,Currency,Currency_Time,Duration,Duration_Time,Full_Time,Part_Time,Prerequisite_1,Prerequisite_2,Prerequisite_1_grade_1,Prerequisite_2_grade_2,Website,Course_Lang,Availability,Description,Country,Online,Offline,Distance,Face_to_Face,Blended,Remarks
BA,Monash University,Melbourne,Business Administration and Arts,Business & Economics,"45,000",AUD,Years,4.0,Years,Yes,No,IELTS,Equivalent AQF Degree Level,6.5,Year 12,https://www.monash.edu/study/courses/find-a-course/2021/business-administration-and-arts-b2046?international=true,English,A,"Why study a double degree in Business Administration and Arts? With Business Administration, you'll gain the crucial management and administration skills required for a career in business. With Arts, you can choose from almost 40 major and minor areas of study.",Australia,No,Yes,No,Yes,No,
BA,Monash University,Melbourne,Business Administration and Media Communication,Business & Economics,"45,000",AUD,Years,4.0,Years,Yes,No,IELTS,Equivalent AQF Degree Level,6.5,Year 12,https://www.monash.edu/study/courses/find-a-course/2021/business-administration-and-media-communication-b2045?international=true,English,A,"Why study Business Administration and Media Communication? With Business Administration, you'll gain crucial management and administration skills. With Media Communication, you'll develop your practical experience and build a portfolio of media communications work.",Australia,No,Yes,No,Yes,No,
BA,Monash University,Melbourne,Business Administration and Media Communication,Business & Economics,"45,000",AUD,Years,4.0,Years,Yes,No,IELTS,Equivalent AQF Degree Level,6.5,Year 12,https://www.monash.edu/study/courses/find-a-course/2021/business-administration-and-media-communication-b2045?international=true,English,A,"Why study Business Administration and Media Communication? With Business Administration, you'll gain crucial management and administration skills. With Media Communication, you'll develop your practical experience and build a portfolio of media communications work.",Australia,No,Yes,No,Yes,No,
BA,Monash University,Melbourne,Business and Accounting,Business & Economics,"45,000",AUD,Years,4.0,Years,Yes,No,IELTS,Equivalent AQF Degree Level,6.5,Year 12,https://www.monash.edu/study/courses/find-a-course/2021/business-and-accounting-b2040?international=true,English,A,"Why study a double degree in Business and Accounting? With Business, you'll explore a broad range of business disciplines - from finance and law to statistics and management. In Accounting, you'll learn to make strategic decisions about an organisation's financial and non-financial situation.",Australia,No,Yes,No,Yes,No,
BA,Monash University,Melbourne,Business and Arts,Business & Economics,"45,000",AUD,Years,4.0,Years,Yes,No,IELTS,Equivalent AQF Degree Level,6.5,Year 12,https://www.monash.edu/study/courses/find-a-course/2021/business-and-arts-b2019?international=true,English,A,"Why study a double degree in Commerce and Arts? With Commerce, you'll learn how to think conceptually, solve problems analytically and use data to make informed decisions. With Arts, you can choose from almost 40 major and minor areas of study and explore your passions and career goals.",Australia,No,Yes,No,Yes,No,
BA,Monash University,Melbourne,Business and Banking and Finance,Business & Economics,"45,000",AUD,Years,4.0,Years,Yes,No,IELTS,Equivalent AQF Degree Level,6.5,Year 12,https://www.monash.edu/study/courses/find-a-course/2021/business-and-banking-and-finance-b2035?international=true,English,A,"Why study a double degree in Business and Banking and Finance? With Business, you'll explore everything from finance and law to statistics and management. With Banking and Finance, you'll build specialist financial knowledge and complete a research project or industry internship.",Australia,No,Yes,No,Yes,No,
BA,Monash University,Melbourne,Business and Information Technology,Computer Science & Information Technology,"45,000",AUD,Years,4.0,Years,Yes,No,IELTS,Equivalent AQF Degree Level,6.5,Year 12,https://www.monash.edu/study/courses/find-a-course/2021/business-and-information-technology-b2017?international=true,English,A,"Why study a double degree in Business and IT? With Business, you'll explore everything from finance and law to statistics and management. With Information Technology, you'll develop and manage IT-based systems and use computer-based technologies to solve problems. A dynamic combination.",Australia,No,Yes,No,Yes,No,
BA,Monash University,Melbourne,Business and International Business,Business & Economics,"45,000",AUD,Years,4.0,Years,Yes,No,IELTS,Equivalent AQF Degree Level,6.5,Year 12,https://www.monash.edu/study/courses/find-a-course/2021/business-and-international-business-b2041?international=true,English,A,"Why study a double degree in Business and International Business? With Business, you'll explore a range of business disciplines - from finance and law to statistics and management. With International Business, you'll learn the intricacies of doing business in different countries and environments.",Australia,No,Yes,No,Yes,No,
BA,Monash University,Melbourne,Business and International Business,Business & Economics,"45,000",AUD,Years,4.0,Years,Yes,No,IELTS,Equivalent AQF Degree Level,6.5,Year 12,https://www.monash.edu/study/courses/find-a-course/2021/business-and-international-business-b2041?international=true,English,A,"Why study a double degree in Business and International Business? With Business, you'll explore a range of business disciplines - from finance and law to statistics and management. With International Business, you'll learn the intricacies of doing business in different countries and environments.",Australia,No,Yes,No,Yes,No,
BA,Monash University,Melbourne,Business and Marketing,Business & Economics,"45,000",AUD,Years,4.0,Years,Yes,No,IELTS,Equivalent AQF Degree Level,6.5,Year 12,https://www.monash.edu/study/courses/find-a-course/2021/business-and-marketing-b2037?international=true,English,A,"Why study Business and Marketing? With Business, you'll explore everything from finance to management. With Marketing, you'll explore social media, advertising, consumer and buyer behaviour, campaign planning, market research, strategy, data analysis, branding and digital marketing.",Australia,No,Yes,No,Yes,No,
