Faculty,Prerequisite_1_grade_1,Prerequisite_3,Prerequisite_2_grade_2,Currency_Time,City,Int_Fees,Career_Outcomes/path,Prerequisite_3_grade_3,Offline,Full_Time,Online,Local_Fees,Course_Lang,Website,Face_to_Face,University,Availability,Part_Time,Country,Blended,Course,Distance,Prerequisite_1,Duration_Time,Duration,Level_Code,Currency,Remarks,Description,Prerequisite_2
"Science and Agriculture, Business and Law",72.55,,,Years,Armidale,,,,Yes,No,Yes,,English,https://my.une.edu.au/courses/2020/courses/DSCNCE,Yes,University of New England,A,Yes,Australia,No,Diploma in Science,Yes,ATAR,Year,1.0,DIP,AUD,,This course is designed to provide students with basic skills and knowledge in a range of disciplines in science through a coherent program of study. Graduates will have a broad scientific background to assist with future employment or to pursue further study. ,
"Humanities, Arts, Social Sciences and Education",72.55,,,Years,Armidale,,"The program consists of eight units. It includes four compulsory first-year units, followed by four elective units. The Diploma will normally take people two years to complete, at a rate of two units per trimester. However the programme is flexible and people may complete at different rates.",,Yes,No,Yes,,English,https://my.une.edu.au/courses/2020/courses/DTWNPL,Yes,University of New England,A,Yes,Australia,No,Diploma in Town Planning,Yes,ATAR,Years,4.0,DIP,AUD,,The Diploma of Town Planning has been designed to provide an opportunity for university study for people who may never have considered nor undertaken university study before. It also provides a pathway to further university study.,
"Humanities, Arts, Social Sciences and Education",72.55,,,Years,Armidale,,* diversify skillsets to create more career choices;,,Yes,No,Yes,,English,https://my.une.edu.au/courses/2020/courses/UCPD,Yes,University of New England,A,Yes,Australia,No,Undergraduate Certificate in Professional Development,Yes,ATAR,Years,6.0,UG,AUD,,"The Undergraduate Certificate in Professional Development is a program of study designed for those who need an undergraduate qualification that will prepare them to transition into, or within, careers or for further study.",
"Science and Agriculture, Business and Law",72.55,,,Years,Armidale,,* diversify skillsets to create more career choices;,,Yes,No,Yes,,English,https://my.une.edu.au/courses/2020/courses/HBAGB,Yes,University of New England,A,Yes,Australia,No,Bachelor of Agribusiness with Honours,Yes,ATAR,Year,1.0,HONS,AUD,,"Students with above average grades are encouraged to undertake a fourth year of advanced study in their specialised stream, leading to the degree of Bachelor of Agribusiness with Honours. This course is designed to allow well-qualified graduates to extend their studies in areas of agribusiness, either to improve their career prospects or to proceed to higher degree studies.",
"Humanities, Arts, Social Sciences and Education",72.55,,,Years,Armidale,,* diversify skillsets to create more career choices;,,Yes,No,Yes,,English,https://my.une.edu.au/courses/2020/courses/HBA,Yes,University of New England,A,Yes,Australia,No,Bachelor of Arts with Honours,Yes,ATAR,Year,1.0,HONS,AUD,,"This course is designed to allow well-qualified graduates to extend their studies in areas listed, either to improve their career prospects or to proceed to higher degree studies. Completion of the degree to the standard of Honours Class II Division 2 or better is the normal mode of entry to the research degree of Master of Philosophy. Completion to the standard of Honours Class II Division 1 or better is the normal mode of entry to candidature for the degree of Doctor of Philosophy.",
Medicine and Health,72.55,,,Years,Armidale,,* diversify skillsets to create more career choices;,,Yes,No,Yes,,English,https://my.une.edu.au/courses/2020/courses/HBCEP,Yes,University of New England,A,Yes,Australia,No,Bachelor of Clinical Exercise Physiology with Honours,Yes,ATAR,Year,1.0,HONS,AUD,,Honours in Clinical Exercise Physiology is an intensive year-long program that enables students to research a topic they are passionate about. Students will have the opportunity to develop their own original research project and conduct research under the guidance of a supervisor who is a specialist in the relevant field. It is the final year of undergraduate study for most students and provides students with an avenue into postgraduate study or into a career as a professional researcher or academic. Students who complete honours can demonstrate to future employees that they have important job skills such as the ability to produce high quality work with minimal supervision and important project management skills. ,
"Science and Agriculture, Business and Law",72.55,,,Years,Armidale,,* diversify skillsets to create more career choices;,,Yes,No,Yes,,English,https://my.une.edu.au/courses/2020/courses/HBCOMP,Yes,University of New England,A,Yes,Australia,No,Bachelor of Computer Science with Honours,Yes,ATAR,Year,1.0,HONS,AUD,,"This program is designed to allow well-qualified graduates to extend their studies in a chosen area of Computer Science or Information Technology, either to improve their career prospects or to proceed to higher degree studies.",
"Humanities, Arts, Social Sciences and Education",72.55,,,Years,Armidale,,* diversify skillsets to create more career choices;,,Yes,No,Yes,,English,https://my.une.edu.au/courses/2020/courses/HBCRIM,Yes,University of New England,A,Yes,Australia,No,Bachelor of Criminology with Honours,Yes,ATAR,Year,1.0,HONS,AUD,,"Honours in Criminology is an intensive year-long program that enables students to research a topic they are passionate about. Students will have the opportunity to develop their own original research project and conduct empirical or theoretical research under the guidance of a supervisor who is a specialist in the relevant field. It is the final year of undergraduate study for most students and provides students with an avenue into postgraduate study or into a career as a professional researcher or academic. Students who complete honours can demonstrate to future employees that they have important job skills such as the ability to produce high quality work with minimal supervision, the capacity to engage with criminal justice agencies and important project management skills. ",
"Science and Agriculture, Business and Law",72.55,,,Years,Armidale,,* diversify skillsets to create more career choices;,,Yes,No,Yes,,English,https://my.une.edu.au/courses/2020/courses/HBEC,Yes,University of New England,A,Yes,Australia,No,Bachelor of Economics with Honours,Yes,ATAR,Year,1.0,HONS,AUD,,"Students with above average grades are encouraged to undertake a fourth year of advance study in their specialised stream, leading to the degree of Bachelor of Economics with Honours. ",
"Science and Agriculture, Business and Law",72.55,,,Years,Armidale,,* diversify skillsets to create more career choices;,,Yes,No,Yes,,English,https://my.une.edu.au/courses/2020/courses/HBEXSS,Yes,University of New England,A,Yes,Australia,No,Bachelor of Exercise and Sports Science with Honours,Yes,ATAR,Year,1.0,HONS,AUD,,Honours in Exercise and Sports Science is an intensive year-long program that enables students to research a topic they are passionate about. Students will have the opportunity to develop their own original research project and conduct research under the guidance of a supervisor who is a specialist in the relevant field. It is the final year of undergraduate study for most students and provides students with an avenue into postgraduate study or into a career as a professional researcher or academic. Students who complete honours can demonstrate to future employees that they have important job skills such as the ability to produce high quality work with minimal supervision and important project management skills. ,
"Humanities, Arts, Social Sciences and Education",72.55,,,Years,Armidale,,* diversify skillsets to create more career choices;,,Yes,No,Yes,,English,https://my.une.edu.au/courses/2020/courses/HBINST,Yes,University of New England,A,Yes,Australia,No,Bachelor of International Studies with Honours,Yes,ATAR,Year,1.0,HONS,AUD,,"Students undertake Honours in one of the majors they studied in their undergraduate degree. They can thus specialise in an area of their choice such as Global Politics and Peace; Societies (featuring sociology, development and religion); or Languages. This offers the opportunity for in depth study of topical issues significant to humanity and the future of our planet. Honours comprises coursework and a dissertation on a topic of particular interest to the student. The precise topic is determined in consultation with their supervisor. This degree is flexible and can be studied both on campus and online. ",
"Humanities, Arts, Social Sciences and Education",72.55,,,Years,Armidale,,* diversify skillsets to create more career choices;,,Yes,No,Yes,,English,https://my.une.edu.au/courses/2020/courses/HBMC,Yes,University of New England,A,Yes,Australia,No,Bachelor of Media and Communications with Honours,Yes,ATAR,Year,1.0,HONS,AUD,,"This course provides up-to-date knowledge of the rapidly changing field of media and communications. It explores such areas as film and television, screen adaptations, media convergence, changing print genres, digital communications and writing practices, with topics varying to reflect new developments and interests. The coursework and dissertation components allow scope for students to pursue individual interests and enhance their research and communication skills, which are vital for further studies and today's changing workplaces.",
Medicine and Health,72.55,,,Years,Armidale,,* diversify skillsets to create more career choices;,,Yes,Yes,Yes,,English,https://my.une.edu.au/courses/2020/courses/HBMEDS,Yes,University of New England,A,No,Australia,No,Bachelor of Medical Science with Honours,Yes,ATAR,Year,1.0,HONS,AUD,,The Bachelor of Medical Science with Honours is designed to provide students with training in scientific method and in the verbal and written communication of scientific results.,
"Humanities, Arts, Social Sciences and Education",72.55,,,Years,Armidale,,* diversify skillsets to create more career choices;,,Yes,No,Yes,,English,https://my.une.edu.au/courses/2020/courses/HBMUS,Yes,University of New England,A,Yes,Australia,No,Bachelor of Music with Honours,Yes,ATAR,Year,1.0,HONS,AUD,,"The Bachelor of Music with Honours program is designed to allow well qualified graduates in Music or Music/Teaching to extend their studies by pursuing specialist Music research and creative portfolio projects. Students will work with a supervisor to pursue guided research in ethnomusicology, musicology, performance studies, popular music studies, or in the study of creative music making principles and techniques in the areas of composition or music technology. Students complete their studies by presenting a dissertation, or research informed exegesis and creative portfolio in their area of specialisation. The course prepares students for postgraduate study and establishes a sound basis for a successful future career. ",
Medicine and Health,72.55,,,Years,Armidale,,* diversify skillsets to create more career choices;,,Yes,No,Yes,,English,https://my.une.edu.au/courses/2020/courses/HBN,Yes,University of New England,A,Yes,Australia,No,Bachelor of Nursing with Honours,Yes,ATAR,Year,1.0,HONS,AUD,,"This course is designed for eligible graduates of the Bachelor of Nursing degree and equivalent degrees. Successful completion of the program will provide graduates with a sound basis for subsequent leadership in nursing practice, research and education as well as enabling them to progress to higher degree research at masters or PhD levels.",
"Science and Agriculture, Business and Law",72.55,,,Years,Armidale,,* diversify skillsets to create more career choices;,,Yes,No,Yes,,English,https://my.une.edu.au/courses/2020/courses/HBSC,Yes,University of New England,A,Yes,Australia,No,Bachelor of Science with Honours,Yes,ATAR,Year,1.0,HONS,AUD,,Honours in Science is an intensive year-long program that enables students to research a topic they are passionate about. Students will have the opportunity to develop their own original project and conduct research under the guidance of a supervisor who is a specialist in the relevant field. This is the final year of undergraduate study for most students and provides an avenue into postgraduate study and improves career prospects. Students who complete an honours year can demonstrate to future employers that they have advanced science skills and the ability to manage and independently produce high quality work.,
Medicine and Health,72.55,,,Years,Armidale,,* diversify skillsets to create more career choices;,,Yes,No,Yes,,English,https://my.une.edu.au/courses/2020/courses/HBSOCS,Yes,University of New England,A,Yes,Australia,No,Bachelor of Social Science with Honours,Yes,ATAR,Year,1.0,HONS,AUD,,"This course is designed to allow well-qualified graduates to extend their studies in the areas of Psychology or Sociology, either to improve their career prospects or to proceed to higher degree studies. Completion of the degree to the standard of Honours Class II Division 2 or better is the normal mode of entry to the research degree of Master of Philosophy. Completion to the standard of Honours Class II Division 1 or better is the normal mode of entry to candidature for the degree of Doctor of Philosophy.",
