Faculty,Prerequisite_1_grade_1,Prerequisite_3,Prerequisite_2_grade_2,Currency_Time,City,Int_Fees,Career_Outcomes/path,Prerequisite_3_grade_3,Offline,Full_Time,Online,Local_Fees,Course_Lang,Website,Face_to_Face,University,Availability,Part_Time,Country,Blended,Course,Distance,Prerequisite_1,Duration_Time,Duration,Level_Code,Currency,Remarks,Description,Prerequisite_2
"Humanities, Arts, Social Sciences and Education",77.10,,,Years,Armidale,,,,Yes,No,Yes,,English,https://my.une.edu.au/courses/2020/courses/BEDK6,Yes,University of New England,A,Yes,Australia,No,Bachelor of Education (K-6 Teaching),Yes,ATAR,Years,4.0,BA,AUD,,"The Bachelor of Education (K-6 Teaching) is an initial-teacher education program; it aims to prepare Primary teachers who can teach from Kindergarten to Year 6 and who have a primary teaching specialisation as mandated by the Australian Institute of Teaching and School Leadership (AITSL). The course has been designed to meet the Australian Professional Standards for Teachers. Candidates choose between specialisations in Mathematics, Science and Technology, Language or English. Students with a strong background in or aptitude for Mathematics, Science and Technology, or Language can complete one of these specialisations, which have been approved by the NSW Education Standards Authority (NESA). Graduates with a NESA-approved primary specialisation receive a code on their teacher registration documentation which may advantage them when seeking a teaching position in a NSW Department of Education school. All other students complete a more general program with a National specialisation in English.",
"Humanities, Arts, Social Sciences and Education",77.10,,,Years,Armidale,,,,Yes,No,Yes,,English,https://my.une.edu.au/courses/2020/courses/BEDPF,Yes,University of New England,A,Yes,Australia,No,Bachelor of Education (Pacific Focus),Yes,ATAR,Years,2.0,BA,AUD,,"The Bachelor of Education (Pacific Focus) is a unique course of study developed specifically for educators in the Pacific Islands. Graduates of the Associate Degree of Teaching (Pacific Focus) may undertake this course as an additional two years (full time equivalent) of study toward a Bachelor qualification. The course offers four career pathways for graduates and encompasses working with children in Early Childhood Education, Primary Education, Secondary Education, and Inclusive Education, as well as professional experience and a 50-day internship.",
"Humanities, Arts, Social Sciences and Education",77.10,,,Years,Armidale,,"Option 1 - You may attempt the Bachelor of Education (Secondary Arts) without meeting the above requirement, however you are then required to complete 48 credit points of 'discipline units'. These are units which contribute to your background knowledge for the subjects you want to teach. If you can pass all 48 credit points you will be deemed to have met the NSW Government's requirements and may proceed in the course. However, if you cannot pass all 48 credit points, you may not proceed and will be transferred to a non-teacher education course such as the Bachelor of Arts.",,Yes,No,Yes,,English,https://my.une.edu.au/courses/2020/courses/BEDSA,Yes,University of New England,A,Yes,Australia,No,Bachelor of Education (Secondary Arts),Yes,ATAR,Years,4.0,BA,AUD,,"Teaching is a rewarding career choice for those who enjoy being part of children's development. The professional skills learned will be valued by the community and will bring teachers into contact with people of all ages. Teachers are members of one of the largest professions of our society. The degree will give students the opportunity to develop the skills, knowledge and attitudes needed to become a successful secondary teacher. Students are encouraged to be independent learners who are able to adapt efficiently and constructively to meet the changes which occur in the teaching profession.",
"Humanities, Arts, Social Sciences and Education",77.10,,,Years,Armidale,,"Option 1 - You may attempt the Bachelor of Education (Secondary Mathematics) without meeting the above requirement, however you are then required to complete 48 credit points of 'discipline units'. These are units which contribute to your background knowledge for the subjects you want to teach. If you can pass all 48 credit points you will be deemed to have met the NSW Government's requirements and may proceed in the course. However, if you cannot pass all 48 credit points, you may not proceed and will be transferred to a non-teacher education course such as the Bachelor of Science.",,Yes,No,Yes,,English,https://my.une.edu.au/courses/2020/courses/BEDSMT,Yes,University of New England,A,Yes,Australia,No,Bachelor of Education (Secondary Mathematics),Yes,ATAR,Years,4.0,BA,AUD,,"Teaching is a rewarding career choice for those who enjoy being part of children's development. The professional skills learned will be valued by the community and will bring teachers into contact with people of all ages. Teachers are members of one of the largest professions of our society. The degree will give students the opportunity to develop the skills, knowledge and attitudes needed to become a successful secondary teacher. Students are encouraged to be independent learners who are able to adapt efficiently and constructively to meet the changes which occur in the teaching profession.",
"Humanities, Arts, Social Sciences and Education",77.10,,,Years,Armidale,,"The NSW Government raised admission requirements for undergraduate teaching courses in 2016. The new requirements are considerably higher than before and specify a minimum of three Band 5 HSC results, including one in English, or bridging units or alternative pathway as approved by NESA. Further information is available via the NESA Teacher Accreditation website.",,Yes,No,Yes,,English,https://my.une.edu.au/courses/2020/courses/BEDSMU,Yes,University of New England,A,Yes,Australia,No,Bachelor of Education (Secondary Music),Yes,ATAR,Years,4.0,BA,AUD,,"Teaching is a rewarding career choice for those who enjoy being part of children's development. The professional skills learned will be valued by the community and will bring teachers into contact with people of all ages. Teachers are members of one of the largest professions of our society. The degree will give students the opportunity to develop the skills, knowledge and attitudes needed to become a successful secondary teacher. Students are encouraged to be independent learners who are able to adapt efficiently and constructively to meet the changes which occur in the teaching profession. The Music component of this course is offered in fully online mode only, giving students flexibility with regard to location and when they can study and access course materials.",
"Science and Agriculture, Business and Law",77.10,,,Years,Armidale,,"In addition to the above, from 2018 initial teacher education students must satisfy the School of their suitability for teaching through the satisfactory completion of a non-academic capability assessment.",,Yes,No,Yes,,English,https://my.une.edu.au/courses/2020/courses/BEDSSC,Yes,University of New England,A,Yes,Australia,No,Bachelor of Education (Secondary Science),Yes,ATAR,Years,4.0,BA,AUD,,"Teaching is a rewarding career choice for those who enjoy being part of children's development. The professional skills learned will be valued by the community and will bring teachers into contact with people of all ages. Teachers are members of one of the largest professions of our society. The degree will give students the opportunity to develop the skills, knowledge and attitudes needed to become a successful secondary teacher. Students are encouraged to be independent learners who are able to adapt efficiently and constructively to meet the changes which occur in the teaching profession.",
"Humanities, Arts, Social Sciences and Education",72.55,,,Years,Armidale,,"In addition to the above, from 2018 initial teacher education students must satisfy the School of their suitability for teaching through the satisfactory completion of a non-academic capability assessment.",,Yes,No,Yes,,English,https://my.une.edu.au/courses/2020/courses/BEDS,Yes,University of New England,A,Yes,Australia,No,Bachelor of Educational Studies,Yes,ATAR,Years,3.0,BA,AUD,,"This is a degree with flexibility, in which you can incorporate a wide range of subjects from across the University. This course offers flexibility in Education career options, giving those candidates with an interest in Education but who do not wish to teach, the option of studying a broad range of Education subjects relating to education as a discipline (non-teaching). In addition, completion of an appropriate number/combination of NESA-approved bridging units, or 48 credit points of Discipline units offered in this course will meet NSW Education Standards Authority (NESA)'s 'three Band 5s including English' requirement for admission to an Initial Teacher Education course.",
Medicine and Health,72.55,,,Years,Armidale,,"In addition to the above, from 2018 initial teacher education students must satisfy the School of their suitability for teaching through the satisfactory completion of a non-academic capability assessment.",,Yes,No,Yes,,English,https://my.une.edu.au/courses/2020/courses/BENSC,Yes,University of New England,A,Yes,Australia,No,Bachelor of Environmental Science,Yes,ATAR,Years,3.0,BA,AUD,,"The Bachelor of Environmental Science is a unique undergraduate program directly integrated to the protection and conservation of our regional, rural and national environment. It provides graduates with a strong scientific understanding of local to global environmental issues and their management. The program offers a wide range of flexible and personal learning opportunities to develop advanced scientific knowledge and field and laboratory skills related to ecological conservation, air, land, water, plant and wildlife management and protection. Students will engage and work with environmental practitioners, industry and regulators to solve the problems of today with innovative solutions whilst gaining the core attributes to be job ready in a wide range of careers. Local and international field trips give valuable hands on experience.",
Medicine and Health,84.40,,,Years,Armidale,,,,Yes,No,Yes,,English,https://my.une.edu.au/courses/2020/courses/BESLAW,Yes,University of New England,A,Yes,Australia,No,Bachelor of Environmental Science/Bachelor of Laws,Yes,ATAR,Years,5.0,BA,AUD,,"The University of New England offers a flexible approach to the study of law. UNE boasts one of Australia's largest law schools outside a capital city, as well as being an early adopter of innovative technology in the delivery of its law programs. The Bachelor of Laws is accredited by the Legal Profession Admission Board of NSW for admission as a legal practitioner in NSW and mutual recognition legislation extends admission to other Australian jurisdictions.",
"Science and Agriculture, Business and Law",72.55,,,Years,Armidale,,,,Yes,No,Yes,,English,https://my.une.edu.au/courses/2020/courses/BEXSS,Yes,University of New England,A,Yes,Australia,No,Bachelor of Exercise and Sports Science,Yes,ATAR,Years,3.0,BA,AUD,,"The Bachelor of Exercise and Sports Science at UNE is a multidisciplinary program that develops a comprehensive understanding of the scientific and applied aspects of sport, exercise and health. The course includes core studies in human structure, function and behaviour before further study on the acute and chronic physiological and psychological responses to exercise. Analytical, technical and professional skills are developed in the areas of movement analysis, health and fitness assessment and exercise training for health and performance. Students complete 140 hours of workplace experience in their final trimester of study to practice these skills. Graduates are recognised for their expertise in the design and implementation of exercise interventions to prevent disease and improve athletic performance.",
