Level_Code,University,City,Course,Faculty,Local_Fees,Int_Fees,Currency,Currency_Time,Duration,Duration_Time,Full_Time,Part_Time,Prerequisite_1,Prerequisite_2,Prerequisite_3,Prerequisite_1_grade_1,Prerequisite_2_grade_2,Prerequisite_3_grade_3,Website,Course_Lang,Availability,Description,Career_Outcomes/path,Country,Online,Offline,Distance,Face_to_Face,Blended,Remarks
DOC,University of Southern Queensland,Toowoomba,Doctor of Professional Studies,Agriculture and Environment,26480,28800,AUD,Years,3.0,Years,Yes,Yes,ATAR,IELTS,Equivalent ,,6.5,Year 12,https://www.usq.edu.au:443/study/degrees/doctor-of-professional-studies,English,A,"USQ’s Doctor of Professional Studies allows you to combine your professional practice with study. The program is specifically designed for people wanting to focus on a real-world, real-time work-based challenge and gain a doctoral degree.","As a graduate, you will gain the skills to enrich your professional practice, influence the sector and be prepared for a variety of career opportunities. You can use this degree to illustrate your advanced standing in your profession. You can advance your career in the public service, become a leading professional in the private sector, develop leadership in specialised practice and become a thought leader. ",Australia,Yes,Yes,Yes,Yes,No,
MST,University of Southern Queensland,Toowoomba,Master of Engineering Research,Agriculture and Environment,27840,35280,AUD,Years,18.0,Months,Yes,Yes,ATAR,IELTS,Equivalent ,,6.5,Year 12,https://www.usq.edu.au:443/study/degrees/master-of-engineering-research,English,A,Explore solutions to complex engineering problems with USQ’s Master of Engineering (Research). You will learn advanced research techniques from leading USQ researchers and undertake a significant piece of research with industry to advance the engineering profession and knowledge.,Your study could lead to careers as an academic in the field of engineering or as a specialised engineering researcher.,Australia,Yes,Yes,Yes,Yes,No,
MST,University of Southern Queensland,Toowoomba,Master of Professional Studies (Research),Agriculture and Environment,22800,28880,AUD,Years,18.0,Months,Yes,Yes,ATAR,IELTS,Equivalent ,,6.5,Year 12,https://www.usq.edu.au:443/study/degrees/master-of-professional-studies-research,English,A,"Do you want to contribute to your organisation or community of practice? Are you a public servant, a professional, a volunteer, or stay at home parent who wants to research a work-based topic of interest?","As a graduate, you open the door to a multitude of career opportunities. You can use this degree to illustrate your advanced standing in your profession. You can advance your career further in the public service, become a leading professional in the private sector, develop leadership in specialised practice and become a thought leader. ",Australia,Yes,Yes,Yes,Yes,No,
BA,University of Southern Queensland,Ipswich,Bachelor of General Studies,Agriculture and Environment,25280,30400,AUD,Years,3.0,Years,Yes,Yes,ATAR,IELTS,Equivalent ,,6.5,Year 12,https://www.usq.edu.au:443/study/degrees/bachelor-of-general-studies,English,A,"This degree is ideal for those who may have left school, but want to sample a range of university subjects before starting a more specialised degree.",General Studies can lead to any career enhanced by a tertiary qualification.,Australia,Yes,Yes,Yes,Yes,No,
BA,University of Southern Queensland,Toowoomba,Bachelor of General Studies,Agriculture and Environment,25280,30400,AUD,Years,3.0,Years,Yes,Yes,ATAR,IELTS,Equivalent ,,6.5,Year 12,https://www.usq.edu.au:443/study/degrees/bachelor-of-general-studies,English,A,"This degree is ideal for those who may have left school, but want to sample a range of university subjects before starting a more specialised degree.",General Studies can lead to any career enhanced by a tertiary qualification.,Australia,Yes,Yes,Yes,Yes,No,
BA,University of Southern Queensland,Toowoomba,Bachelor of Science  Major Animal Science,Agriculture and Environment,22400,33120,AUD,Years,3.0,Years,Yes,Yes,ATAR,IELTS,Equivalent ,,6.5,Year 12,https://www.usq.edu.au:443/study/degrees/bachelor-of-science/animal-science,English,A,"Study key aspects of livestock health and welfare, product quality, farm safety, and animal ethics to ensure humane and sustainable food production. You will examine emerging technologies in animal breeding programs, and learn to apply cognitive and technical skills in the area of genetics.","For graduates with an Animal Science major, careers might include research scientist (government, private or university), animal nutritionist, animal health specialist, rural banking professional, agribusiness employee, farmer, and consultant.",Australia,Yes,Yes,Yes,Yes,No,
BA,University of Southern Queensland,Toowoomba,Bachelor of Science  Major Plant Agricultural Science,Agriculture and Environment,22400,33120,AUD,Years,3.0,Years,Yes,Yes,ATAR,IELTS,Equivalent ,,6.5,Year 12,https://www.usq.edu.au:443/study/degrees/bachelor-of-science/plant-agricultural-science,English,A,Delve into the science behind agricultural plant production with the Bachelor of Science (Plant Agricultural Science).,"Agricultural scientists are employed by the government, agriculture and horticulture producers, farmer groups and agribusiness to do research, and even by mining companies working on regeneration. With global food demand increasing, the job prospects for agricultural scientists are very good.",Australia,Yes,Yes,Yes,Yes,No,
GCERT,University of Southern Queensland,Toowoomba,Graduate Certificate of Science Specialisation Agricultural Science,Agriculture and Environment,13440,17920,AUD,Years,6.0,Months,Yes,Yes,ATAR,IELTS,Equivalent ,,6.5,Year 12,https://www.usq.edu.au:443/study/degrees/graduate-certificate-of-science/agricultural-science,English,A,The Graduate Certificate of Science (Agricultural Sciences) enables graduates from a range of science related disciplines to gain an overview of the direction of global agriculture in the 21st century and enhance their knowledge base of specific skills in agricultural production.,"By studying the Graduate Certificate of Science (Agricultural Science) you can broaden your career prospects to include employment in agricultural consulting, aspects of crop science, agricultural science laboratories, field-based research and on-farm technologies.",Australia,Yes,Yes,Yes,Yes,No,
GDIP,University of Southern Queensland,Toowoomba,Graduate Diploma of Science Specialisation Agricultural Science,Agriculture and Environment,26880,35840,AUD,Years,1.0,Years,Yes,Yes,ATAR,IELTS,Equivalent ,,6.5,Year 12,https://www.usq.edu.au:443/study/degrees/graduate-diploma-of-science/agricultural-science,English,A,"Broaden your knowledge, skills and career prospects by studying the Graduate Diploma of Science (Agricultural Science). This flexible degree enables graduates to study the major challenges for Agricultural Sciences both globally and nationally in the 21st century.","By studying the Graduate Diploma of Science (Agricultural Sciences) you can broaden your career prospects to include employment in agricultural consulting, agricultural science laboratories, climate risk analysis, crop production, farm technologies and precision agriculture, soils management and viticulture.",Australia,Yes,Yes,Yes,Yes,No,
MST,University of Southern Queensland,Toowoomba,Master of Science Specialisation Agricultural Science,Agriculture and Environment,26880,35840,AUD,Years,2.0,Years,Yes,Yes,ATAR,IELTS,Equivalent ,,6.5,Year 12,https://www.usq.edu.au:443/study/degrees/master-of-science/agricultural-science,English,A,"Do you have a desire to improve modern practices in agriculture? Learning in our Master of Science (Agricultural Science) degree, you will develop an understanding of both national and global challenges associated with agricultural production.","Graduates from the Master of Science (Agriculture Science) can expect career opportunities in agricultural consulting, agricultural science laboratories, climate risk analysis, crop production, farm technologies and precision agriculture, soils management and viticulture.",Australia,Yes,Yes,Yes,Yes,No,
